source,description,description_clean,unit_clean,quantity,rate,material,grade,thickness_mm,thickness_assumed,emission_factor,ef_unit,ef_source,ef_label,cci,cci_label,cci_outlier,extr_method,prop_grade
Bot,1st Floor,1st floor,m2,18409.0,,formwork,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,M30
Bot,"Providing, supplying, placing and fixing in position to create gap for expansion joints of specified thick using 50mm tk of lower density of supreme make - CAPCELL HD100 of 100 kg/cum density during execution of concrete elements  at all expansion joints and separation joints at all levels and wherever specified to the required sizes, shapes, etc., complete.
The rate is including all kind of wastages, lead and Lifts etc.",providing supplying placing and fixing in position to create gap for expansion joints of specified thick using tk of lower density of supreme make capcell hd100 of 100 kg cum density during execution of concrete elements at all expansion joints and separation joints at all levels and wherever specified to the required sizes shapes etc complete the rate is including all kind of wastages lead and lifts etc,m2,6186.0,,formwork,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,M30
Bot,Grade of reinforced steel - Fe 550/550D,grade of reinforced steel fe 550 550d,ton,10476.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=ton, review]",has_ef,,predict_cci,False,section_context,M30
Bot,"For Terrace MS Elevation Features / Pergolas, OHT/ LMR Ladders, Basement/Ramp gratings, PHE Shaft Cat Ladder, Terrace Level Steel Staircase, STP walkways, STP Staircase, STP Railing, pump room & Other Miscellaneous Work",for terrace ms elevation features pergolas oht lmr ladders basement ramp gratings phe shaft cat ladder terrace level steel staircase stp walkways stp staircase stp railing pump room other miscellaneous work,ton,90.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=ton, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 32 mm dia,for dia,nos,2083.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 25 mm dia,for dia,nos,6249.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 20 mm dia,for dia,nos,4692.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 16 mm dia,for dia,nos,6249.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 32-25 mm dia,for 32 dia,nos,421.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 32-20 mm dia,for 32 dia,nos,213.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 32-16 mm dia,for 32 dia,nos,318.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 25-20 mm dia,for 25 dia,nos,2083.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 25-16mm dia,for 25 dia,nos,213.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,For 20-16 mm dia,for 20 dia,nos,526.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=nos, review]",has_ef,,predict_cci,False,section_context,M30
Bot,20mm diameter bore with 16mm dia bar insertion upto 750 mm fixed length - Foundation,diameter bore with dia bar insertion upto fixed length foundation,m,1310.0,,concrete,M30,,False,331.2,kgCO2e/m3,"ICE V4.1 Concrete CEM I M30 [unit=m, review]",has_ef,,predict_cci,False,section_context,M30
Bot,75mm thick on  average,thick on average,m3,25.0,,concrete,M20,,False,284.9,kgCO2e/m3,ICE V4.1 Concrete CEM I M20,has_ef,,predict_cci,False,grade_propagation,M20
Bot,100mm thick  on average,thick on average,m3,4213.0,,concrete,M20,,False,284.9,kgCO2e/m3,ICE V4.1 Concrete CEM I M20,has_ef,,predict_cci,False,grade_propagation,M20
Bot,"Providing vacuum de-watered flooring operation consisting of providing side shuttering with MS channels, angles to the required levels, Vibrating the concrete by using screed vibrator, de-watering using vacuum pumps by suction method and finishing the top surface to required level and grade using skim floaters/discs/power trowels. Covering the finished concrete surface with 200 micron thick polythene sheet and curing etc., complete at all levels.",providing vacuum de watered flooring operation consisting of providing side shuttering with ms channels angles to the required levels vibrating the concrete by using screed vibrator de watering using vacuum pumps by suction method and finishing the top surface to required level and grade using skim floaters discs power trowels covering the finished concrete surface with 200 micron thick polythene sheet and curing etc complete at all levels,m2,42190.0,,concrete,M20,75.0,True,21.3675,kgCO2e/m2,ICE V4.1 Concrete CEM I M20 × 75mm,has_ef,,predict_cci,False,keyword_defaultgrade,
Bot,"Providing and mixing Graded synthetic micro fibres of mono fillament poly propylene fibres in concrete at the rate of 0.90 kg/cum including supply, mixing, supervision etc., complete to minimize the shrinkage cracks as per manufacturers specifications in screed layers with necessary testing.",providing and mixing graded synthetic micro fibres of mono fillament poly propylene fibres in concrete at the rate of 0 90 kg cum including supply mixing supervision etc complete to minimize the shrinkage cracks as per manufacturers specifications in screed layers with necessary testing,kg,3792.0,,concrete,M20,,False,284.9,kgCO2e/m3,"ICE V4.1 Concrete CEM I M20 [unit=kg, review]",has_ef,,predict_cci,False,keyword_defaultgrade,
Bot,For Car parking floors at rate of 5.0kg/ sqm,for car parking floors at rate of 5 0kg sqm,kg,211302.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,For Ramps at rate of 7.0kg/ sqm,for ramps at rate of 7 0kg sqm,kg,34186.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Upto 5mm wide x 30mm deep using polyurathane sealants.,upto wide x deep using polyurathane sealants,m,26370.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,"Providing, supplying and laying, finishing M20 grade batch mixed controlled concrete for flooring of average 100mm thk. on ramp slabs including serrated finish as directed by engineer in charge, cleaning, trimming, watering the surface, curing etc complete to the required slope, formation, finish as indicated in the drawing. Cost to include working at all levels, Lead and Lifts,  necessary pumping to required levels and locations specified as per drawings.",providing supplying and laying finishing m20 grade batch mixed controlled concrete for flooring of average thk on ramp slabs including serrated finish as directed by engineer in charge cleaning trimming watering the surface curing etc complete to the required slope formation finish as indicated in the drawing cost to include working at all levels lead and lifts necessary pumping to required levels and locations specified as per drawings,m2,4884.0,,concrete,M20,100.0,False,28.49,kgCO2e/m2,ICE V4.1 Concrete CEM I M20 × 100mm,has_ef,,predict_cci,False,keyword,M20
Bot,Floor -1,floor 1,m2,5542.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -2,floor 2,m2,5354.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -3,floor 3,m2,5018.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
